Rewiews,reviewdate,mainrating,URL
"When we've been to Miami Beach in the past, we always eat at Havana 1957, at least once. We have always been very, very pleased with the food and service. Everything was cooked to perfection and the flan is to die for! Just be aware, if you're a tourist, that most places add on a Service Charge (tip).",23-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g34439-d10515764-r799295664-Havana_1957_Ocean_Drive-Miami_Beach_Florida.html
Cool location in a refurbished depot. Decor and ambience really good. Great food and excellent and friendly service. We had the Cobb Salad and enchilada. Both great.,09-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g45992-d7371086-r796354009-The_Depot_Craft_Brewery_Distillery-Reno_Nevada.html
"We regularly eat Cuban food, so when we tried the black beans, we found them so salty that they were impossible to eat. We also had the Avocado Salad, which was fine, but was served on a warm plate. The décor, with hanging fake flowers, is just bad. It makes it look like a Polynesian restaurant. Service was slow and inattentive. Do not recommend.",23-Jul-21,20,https://www.tripadvisor.com/ShowUserReviews-g34439-d21391046-r799294666-Havana_Vieja_South_Beach-Miami_Beach_Florida.html
"We decided to celebrate our anniversary with dinner at il Pastaiolo, and we had the best meal and service! Our waiter Vincenzo was awesome and surprised us with an anniversary song and dessert. He took very special care of us. We had the Bruschetta, Spaghetti a la Bolognese, and Four Cheese Ravioli. Everything was delicious. The atmosphere is Italian and very personable and friendly. Go and have an great dining experience - highly recommend.",22-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g34439-d19911046-r799138445-Il_Pastaiolo-Miami_Beach_Florida.html
"This place doesn't have a great pub vibe. It's impersonal and more like a big cafeteria. Service was very slow and our food was lukewarm. Everything for the hamburger seemed to cost extra, so that was annoying. For dessert we tried the Salted Caramel Sundae and it was not good. The crust was not cooked properly and the apples were crunchy. Meh, go somewhere else.",09-Jul-21,20,https://www.tripadvisor.com/ShowUserReviews-g33191-d7201145-r796357031-Truckee_Tavern_and_Grill-Truckee_Lake_Tahoe_California_California.html
This is a typical newer generation Residence Inn with apartment like rooms located along a common corridor on multiple floors.  This property was renovated recently and everything is in good order.  Check in was very friendly and I couldn't think higher of the front desk staff  They were just great!  They went a little further with me because I am going to be here for an extended period of time.  This will be my home for a while while I relocate.,09-Jul-21,40,https://www.tripadvisor.com/ShowUserReviews-g32988-d81070-r796356459-Residence_Inn_Roseville-Roseville_Placer_County_California.html
"Great comfort food, great service in this family-owned restaurant. Located along Truckee's shopping and dining main street. We ate lunch outside in the covered dining area. Everything was tasty and service was efficient and friendly.",09-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g33191-d821016-r796356096-Wagon_Train_Coffee_Shop-Truckee_Lake_Tahoe_California_California.html
Cool location in a refurbished depot. Decor and ambience really good. Great food and excellent and friendly service. We had the Cobb Salad and enchilada. Both great.,09-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g45992-d7371086-r796354009-The_Depot_Craft_Brewery_Distillery-Reno_Nevada.html
"The front desk staff greeted us immediately, and allowed us to check in early.  We felt like all of the staff were approachable and warm! Rooms were spacious and there was a ceiling fan. We were also able to open our windows.  Free WiFi for Marriott membership. ",09-Jul-21,20,https://www.tripadvisor.com/ShowUserReviews-g60713-d279426-r796353686-Hotel_Adagio_Autograph_Collection-San_Francisco_California.html
"Not easy to see, hidden down a small side street at San Francisco's Pier 47, Scoma's Restaurant was a great find! All the food was excellent, the bread, crab cakes, Bolognese, tiramisu. Attentive and elegant service provided by older gentlemen. The restaurant is not ""fancy"", rather, it is a long-established comfortable bayside experience. Make reservations!",09-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g60713-d372212-r796352511-Scoma_s_Restaurant-San_Francisco_California.html
"We are grateful for the constructive feedback you have shared. While we are pleased that you found your room to be both clean and well-appointed, it's unfortunate to learn that we did not meet your expectations. We apologize for the intermittent noise from your a/c unit, as well as the other concerns you mentioned. We would appreciate another chance to impress you the next time you are in the area!",09-Jul-21,30,https://www.tripadvisor.com/ShowUserReviews-g51965-d23381306-r796284000-Fairfield_Inn_Suites_Medford-Medford_Oregon.html
"The location and decor are elegant, so we were expecting a leisurely dining experience. Instead, it felt rushed and lacking a personal touch. The food was good, but when the waiter explained the specials, we asked if the blacked fish could be prepared not blackened, and he answered, somewhat annoyed that we would have the nerve, ""no substitutions"". The wine by the glass was very expensive. Food good; experience not up to par.",09-Jul-21,30,https://www.tripadvisor.com/ShowUserReviews-g32766-d3236485-r796282772-Ristorante_Allegria-Napa_Napa_Valley_California.html
"Things were partially closed due to Covid, it was getting late, we were hungry, and a torrential downpour began. We almost went in to a bar for a quick pizza and beer, but we had looked at the menu earlier for Martino's, and decided to run through the rain to the restaurant. We were so glad we did! Everything was excellent. The Caesar salad was crispy and cold. The dressing perfect. the carbonara was superb, and the lemon cheesecake delicious. Service was very good, and the place has a small, intimate Italian vibe. Prices were reasonable. Highly recommend!",08-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g29998-d675141-r796188685-Martino_s_Restaurant_Bar_Upstairs-Ashland_Oregon.html
"All good: Tasty, well prepared food, good service, nice decor. Indoor and outdoor dining service. Recommend for a nice meal.",08-Jul-21,50,https://www.tripadvisor.com/ShowUserReviews-g32766-d1815478-r796188283-Grace_s_Table-Napa_Napa_Valley_California.html
"Hello Guest,",06-Jul-21,30,https://www.tripadvisor.com/ShowUserReviews-g60944-d76687-r795890829-Best_Western_Plus_Northwoods_Inn-Crescent_City_California.html
"The staff here was great.  The resort is in good condition.  However, only one restaurant was open on property.  Was told they were having trouble with staffing.  The hotel was pretty full and to only have one restaurant was less than ideal.  There is a nice slide for the kiddos but the slide was only open 1-5pm.  Lots of activities like on the patio decks which was nice.  While there weren't clear queue lines for the valet they were super fast and friendly.  While the suites have kitchenettes there is no oven or freezer section in the fridge.  ",06-Jul-21,20,https://www.tripadvisor.com/ShowUserReviews-g32822-d78799-r795889826-Resort_at_Squaw_Creek-Olympic_Valley_Lake_Tahoe_California_California.html
"Considering we are in a pandemic, our stay was great. Other than the very limited menu items and Clubhouse cafe being closed during the middle of the week, at least the bar had a couple of food items. ",05-May-21,40,https://www.tripadvisor.com/ShowUserReviews-g60608-d87211-r788031313-The_Bay_Club_at_Waikoloa_Beach_Resort-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html
"This restaurant's location, views, and beachy fun atmosphere is great. It is largely a tourist restaurant. They don't take reservations so getting in is difficult during meal times. We went for an early dinner and got in quickly. The food was not great and our waitress was uninterested and not very attentive. Prices were very high for the food and service that we got, so just know that you are paying for the beachy location. They also don't want you to linger after your meal and have a time limit for tables, so forget hanging around after your dinner to enjoy the sunset. We heard a lot of hype about this restaurant before our trip, but we were disappointed and didn't return.",05-May-21,30,https://www.tripadvisor.com/ShowUserReviews-g60608-d3326792-r788031723-Lava_Lava_Beach_Club-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html
"This restaurant is in a strip mall so we were not expecting the very elegant décor. The food was o.k., not the best Indian cuisine we've ever had. We tried the Butter Chicken, but it was not as good as expected. The service was excruciatingly slow! We were seated right away (make reservations), but it took forever for the food to come out. I ordered a chai tea and inexplicably, they said it would take a while (why?). We were done with dinner, had already paid, and the tea still had not come out. We had to take it to go. The restaurant was not packed or anything, so just slow for some reason.",15-Apr-21,30,https://www.tripadvisor.com/ShowUserReviews-g34227-d17398701-r786588115-Moksha_Indian_Brasserie-Fort_Lauderdale_Broward_County_Florida.html
"Nice place little off the point of attractions though conveniently close enough. The sleeper sofa was terrible, my young child had a backache & felt very uncomfortable.. Thank you so much! ",12-Apr-21,20,https://www.tripadvisor.com/ShowUserReviews-g34352-d84882-r786410136-Villas_at_Fortune_Place-Kissimmee_Florida.html
"The restaurant is in a strip mall, but inside it's very nicely decorated. The food was very good and enjoyable, but the service was extremely SLOW! We were given a table and menus right away, then after waiting for about half hour for the server to return and take our order, one of us had to go get the server. Then another very long wait for our food to arrive, and finally, an additional long wait for the bill. We again had to go get the server. The restaurant was at a reduced capacity, and there were several servers, so It's difficult to understand why it was so slow. Because of the very SLOW service, we most likely won't return.",10-Mar-21,30,https://www.tripadvisor.com/ShowUserReviews-g58555-d4614898-r784305482-Kyoto_Japanese_Restaurant-Lakewood_Washington.html
"Thank you for your review, we appreciate your feedback regarding some of the amenities missing from your room.  We have taken extra precautions by removing as many touchable items as we can during the pandemic and have all of the items available upon request for our guests.  We are glad you enjoyed our location near the park.  Thank you for being a loyal Marriott Bonvoy Member and we hope that we see you again!",09-Feb-21,40,https://www.tripadvisor.com/ShowUserReviews-g51862-d224020-r782597840-Residence_Inn_Eugene_Springfield-Eugene_Oregon.html
"My wife and I needed a place for about three months and rather than AirBnB or other hotels, we found Home2. Although all of the staff is super friendly, I would give a heartfelt shoutout to Craig, Justin, and Lorraine. As a long-time Marriott frequent traveler, I now believe the Hilton family of hotels will become our first selection.",04-Dec-20,40,https://www.tripadvisor.com/ShowUserReviews-g58350-d7306651-r778459586-Home2_Suites_by_Hilton_Bellingham_Airport-Bellingham_Washington.html
"O.K., so an authentic Italian restaurant in Olympia is very exciting considering that the majority of the people believe Olive Garden a good Italian restaurant. This very small restaurant in a strip mall is a welcome addition to the neighborhood. Some of the staff is authentically Italian (or appear to be). Decor is comfortable and appropriate. The menu is varied and the portions large. The food is traditional and very good, but it didn't ""wow"" us at first bite. However, if you want an Italian experience, do go. Practice your Italian with staff and enjoy an authentic Italian meal.",14-Nov-20,40,https://www.tripadvisor.com/ShowUserReviews-g58549-d21373460-r777158720-Bacco_Trattoria_Italiana-Lacey_Washington.html
"The couple of times we've been there, service has seemed harried and confusing. I ordered the corn trio (an appetizer) and a dinner. The dinners arrived, and we asked a couple of times about the corn. The server said it takes a long time to cook. Really? Please be honest with customers. It takes 5 minutes to boil corn on the cob. Who are you kidding? The corn finally arrived when we were almost done with our dinners. We also had to ask for the tortillas that were supposed to come with the dinner. Additionally, prices are steep for what you get. The corn (1 ear of corn slathered with cheese/spices) is $9.99! Everything was just so-so on taste. We won't return.",02-Nov-20,30,https://www.tripadvisor.com/ShowUserReviews-g58549-d20356384-r776319862-The_Port_Taco_Truck-Lacey_Washington.html
"Thank you for your recent review AreWeHavingFunYet. I am so glad you enjoyed the staff service and breakfast. I am so sorry that the freeway was on the less enjoyable side for you. We are located next to a train line and the freeway. While convenient, it isn't always the quietest- and for that I do apologize. We do have fans and a white noise machine to loan out to guests if they do wish. Thank you again for your kind words about the enjoyable parts of your stay. ",30-Oct-20,20,https://www.tripadvisor.com/ShowUserReviews-g58377-d650322-r776049534-Fairfield_Inn_Suites_Burlington-Burlington_Washington.html
"This was our first time visiting The Shrimp Shack. It was pretty good. We had the clam chowder, hush puppies, and jumbo shrimp with fries. The atmosphere is informal and fun. This is a great place to stop for a snack or quick meal.",30-Oct-20,40,https://www.tripadvisor.com/ShowUserReviews-g30266-d4440587-r776048085-The_Shrimp_Shack-Anacortes_Fidalgo_Island_Washington.html
"Our taco salad and tostada were o.k., nothing spectacular. Service needs to improve. Our waitress sat us down and didn't take drink orders. She didn't return to ask if we wanted more chips (we did). A very efficient young man stepped in and got our drink orders, but then he also disappeared. Note to local restaurants: please go out of your way to provide excellent service, specially in these times when people are reluctant to go out. You will be doing yourselves a favor and your tips will increase. As it is, we won't return.",30-Oct-20,30,https://www.tripadvisor.com/ShowUserReviews-g58643-d818840-r776047715-El_Cazador-Oak_Harbor_Whidbey_Island_Washington.html
"Because of the COVID-19 economic impact, we specifically wanted to go to a local restaurant instead of one that is part of a large chain. We decided to stop for breakfast at The Pancake Chef. First of all, we didn't get much of a greeting on entering. The man at the register didn't even glance up. First impressions is that this is a ""has been"" restaurant, badly in need of an remodel and upgrade. The carpet is filthy and probably original to the place. A waitress dropped a bunch of salt and pepper paper packets on the carpet and proceeded to pick them up off the dirty floor and put them back for use. My breakfast was literally uneatable. The eggs were rubbery. The sourdough pancakes sounded good on the menu but were awful. The syrups came to the table in small open carafes with NO lids -- really?! Gross unsanitary condition even without a pandemic. We will NEVER return. Yuck!",30-Oct-20,10,https://www.tripadvisor.com/ShowUserReviews-g60878-d520800-r776047112-Pancake_Chef-Seattle_Washington.html
"Our 16 year old grandson loves pho, and not only has tried it at many restaurants, has actually made it himself many times. So when he declared Pho 111's pho the best, we had to take his word for it. We had the beef pho, chicken pho, and a Vietnamese sandwich. All was very good. The sandwich was particularly tasty when dipped in the pho. Nice decor, good, fast service. I'm sure we'll be back anytime he visits.",27-Oct-20,50,https://www.tripadvisor.com/ShowUserReviews-g58549-d4266757-r775801244-Pho_111-Lacey_Washington.html
"O'Blarneys has been there for a long time and it shows. It's time for a remodel. The dark carpet is looking very worn, and the oak furniture is out of date. Additionally, the customer base in the restaurant area were definitely Senior Citizens, so the place has an Assisted Living vibe.",11-Oct-20,30,https://www.tripadvisor.com/ShowUserReviews-g58653-d2360567-r773936315-O_Blarney_s_Irish_Pub-Olympia_Washington.html
"The location and views are excellent but the entire ""resort"" and restaurant are very dated. Our waitress was very pleasant and efficient but the food was average. It felt like eating at a diner.",16-Sep-20,30,https://www.tripadvisor.com/ShowUserReviews-g52148-d679229-r770607391-Adobe_Restaurant_and_Lounge-Yachats_Oregon.html
Thank you for sharing your review. We appreciate your comments and are so disappointed your night with us wasn't more enjoyable. We hope we'll have another chance to welcome you under better circumstances - we'd love the opportunity to make a better impression and provide the relaxing stay our guests expect. Thanks again. ,10-Sep-20,40,https://www.tripadvisor.com/ShowUserReviews-g51790-d268490-r769726489-The_Ocean_Lodge-Cannon_Beach_Oregon.html
Thank you for reviewing your recent stay at The Overleaf. It's wonderful to read that you liked the location and overall look/feel of the property. Our hardworking and talented kitchen staff use quality ingredients to carefully prepare a unique and hearty breakfast that is delivered to your room at the time of your choosing. We are happy to be able to offer this service to our guests during a time when many other lodging facilities have had to suspend breakfast service entirely. ,10-Sep-20,40,https://www.tripadvisor.com/ShowUserReviews-g52148-d227554-r769721780-Overleaf_Lodge_Spa-Yachats_Oregon.html
"We had a pleasant lunch and the wait staff was excellent. The food was very good too, specially the bread with olive oil dipping sauce. We sat outside and noted that this restaurant, with its awesome views, could use some improvements. We're not sure if building improvements are possible or affordable, but here are some ideas. The outdoor section is severely lacking. It's weird and narrow and has a dangerous step up - a serious tripping hazard for staff and guests. It's also right next to the parking lot. An outdoor deck would be such an improvement. We went inside to use the restrooms and found it very dreary and dark inside with visible decline on the wood floors, etc. Other than that, we had a nice lunch.",11-Aug-20,30,https://www.tripadvisor.com/ShowUserReviews-g60878-d432924-r764280014-BluWater_Bistro-Seattle_Washington.html
"We tried Mama Stortini's for the first time and were very pleasantly surprised. We didn't expect too much from a restaurant on the outskirts of the mall, but we had great food and service. Everything was cooked and served to perfection and service was efficient and friendly. The Goat Cheese Bruschetta and the Tuscan Chop Chop salad were awesome. We were glad we stopped by for dinner.",02-Aug-20,50,https://www.tripadvisor.com/ShowUserReviews-g58471-d17430593-r762707769-Mama_Stortini_s_Restaurant_Bar-Federal_Way_Washington.html
"
                  ",02-Aug-20,50,https://www.tripadvisor.com/ShowUserReviews-g58471-d319273-r762706391-Pacific_Bonsai_Museum-Federal_Way_Washington.html
"I am giving this restaurant the lowest rating based on their disregard for their employees' and customers' health. We stopped for breakfast on 7/17/20 and not one of the employees was wearing masks or gloves; not the server nor the cook. Inside tables were not six feet apart. Paper menus were reused. And there was no sign of hand-washing or wiping down for germs. And, some of the customers also came in not wearing masks. We should have walked out, but stayed. My French Toast was mediocre and a bit on the burned side. The Biscuits and Gravy were good and a generous portion. We won't be back.",19-Jul-20,10,https://www.tripadvisor.com/ShowUserReviews-g58700-d11909689-r760655251-Sheila_s_Kountry_Kitchen-Raymond_Washington.html
"I stopped in there today 7/7/20 for a juice. Customers were all wearing masks. However, employees were NOT. When I asked about that they said, ""we are not complying with the face mask mandate"". You just lost a customer and probably many more. The safe thing to do when handling food and serving the public right now is to wear a mask. I will not patronize your establishments anymore.",07-Jul-20,10,https://www.tripadvisor.com/ShowUserReviews-g58653-d13139756-r759250345-Zoe_Juice_Bar-Olympia_Washington.html
"What a find! The decor is really cool industrial. It's very welcoming inside with fireplace, couches, really nice tables and stools. There are also gifts to browse through and enjoy. The food was very, very good. We had lunch - a sandwich and the Loco Moco, a beer and a smoothie. Prices are higher than a cheap drive-in restaurant, but this is not a cheap drive-in. The owner was very nice and friendly. This also seems like a great place to meet friends for a drink. We'll be back again when we're in the area.",29-Jun-20,50,https://www.tripadvisor.com/ShowUserReviews-g58612-d11919412-r758525414-Uptown_Koffee_and_Kafe-Milton_Washington.html
"
                  ",11-Jun-20,50,https://www.tripadvisor.com/ShowUserReviews-g58838-d10723673-r757232393-Yakima_Area_Arboretum_Botanical_Garden-Yakima_Washington.html
"The Port Taco Truck is a new restaurant with indoor and outdoor seating. It has very comfortable decor, including a real taco truck inside. Very interesting idea. The decor is modern with lots of light coming through big windows. The prices are not bad, and service was excellent on the day we went. This will be a nice place to go on a warm day to be able to sit outside. The menu is authentic Mexican street taco type, not your huge cheesie platters of Tex-Mex we're used to. It's located in the strip mall by the roundabout next to Meconi's.",23-Mar-20,40,https://www.tripadvisor.com/ShowUserReviews-g58549-d20356384-r751686789-The_Port_Taco_Truck-Lacey_Washington.html
"
                  ",14-Mar-20,50,https://www.tripadvisor.com/ShowUserReviews-g58653-d10682230-r750863823-Exit_Puzzles_Escape_Room-Olympia_Washington.html
"We just had a couple of beers, so we don't know about the food even though it all smelled and looked good. The place is inviting and has a great outdoor area, perfect for warm days. Out waiter was a bit confused/distracted (?), but other than that, highly recommend.",10-Mar-20,40,https://www.tripadvisor.com/ShowUserReviews-g58748-d1055268-r750275578-Snoqualmie_Falls_Brewery_and_Taproom-Snoqualmie_Washington.html
"We loved this buffet last time we visited (about a year ago), so we were sorely disappointed this time. We went for lunch and every item was bland and tasteless. The buffet itself looks good, the place is clean, and service was good, but we didn't enjoy any of it. What happened?",10-Mar-20,10,https://www.tripadvisor.com/ShowUserReviews-g58748-d1641855-r750274856-Falls_Buffet_at_Snoqualmie_Casino-Snoqualmie_Washington.html
"Bongos is a Caribbean oasis in Seattle. This was our first time there and we loved it! The informal decor and large sandy outdoor area is so much fun. It's colorful and inviting. The food was very, very good. It's not common to find Caribbean food in the Northwest, so we were so happy to have found this. We had the pork with black beans, rice, and tostones and the picadillo. We sat outside in a sunny spot and enjoyed our meal with beers. Service was quick and friendly. It's very informal, you order at the counter. Prices were very reasonable and servings generous. We don't remember seeing desserts on the menu and that would be a great addition (flan, arroz con leche, dulce de leche, etc.) We will be back, hopefully soon!",06-Mar-20,50,https://www.tripadvisor.com/ShowUserReviews-g60878-d6748682-r749573068-Bongos-Seattle_Washington.html
"We hadn't been to Infernos for a long time because we got bad service last time, so we thought we'd give it another try. The restaurant was pretty empty on a Friday night and it's probably because of their exorbitant pizza prices! We had a large half Hawaiian - half pepperoni and it was $28.99!!! It wasn't even giant. And to make matters worse, even before we realized what we had paid for the pizza, we both commented that it tasted as plain and ordinary as a frozen $5.99 pizza from the grocery store. We won't be back. We've got to say though that service was great and our waitress was friendly and very pleasant even though it took a long time to get out food. But really, they need to improve their pizzas AND come down on their prices.",29-Feb-20,20,https://www.tripadvisor.com/ShowUserReviews-g58549-d3256545-r748378767-Infernos_Brick_Oven_Pizza-Lacey_Washington.html
"We stopped in for lunch and luckily got a table right away. The decor is fun, colorful, and eclectic. We had the Bocca burger (very big and excellent) , borscht (soup), and a basket of foccacia bread. All very tasty and service was good. Prices were adequate for Whistler. I would strongly recommend reservations for dinner time.",27-Feb-20,40,https://www.tripadvisor.com/ShowUserReviews-g154948-d686174-r747942029-La_Bocca-Whistler_British_Columbia.html
"Tipsy Whale Mercantile is a welcome addition to the Steamboat Island area. It has a counter downstairs with stools, plus tables and chairs, couch and other more comfortable seating upstairs. It's a great place to stop by for a beer. They have rotating taps of craft beer, wine and cider. There is also a small selection of bottles and cans for on site consumption or to go. ",12-Feb-20,40,https://www.tripadvisor.com/ShowUserReviews-g58653-d20106882-r744687524-Tipsy_Whale_Mercantile-Olympia_Washington.html
"Wow, all negative, pretty much. We entered the restaurant to a sign that says, ""Please Seat Yourself"". We headed over to a row of booths only to be told they were all reserved, but they had not had time to put out the ""Reserved"" signs. We then went towards the front of the restaurant and began taking a large booth only to be told that our party of 3 was not big enough for that booth. We then sat at the counter (not our preference) but we wanted to be near the front windows as the restaurant has very dim lighting.",01-Feb-20,20,https://www.tripadvisor.com/ShowUserReviews-g58653-d451232-r742411966-McMenamins_Spar_Cafe-Olympia_Washington.html
"We were staying at the Residence Inn hotel, which is right above T12, and we stopped in one evening for a drink and snack. The ambiance and looks are bland. It really looks like a boring chain hotel bar. Service was good, but then again, the place was mostly empty. We had the Stadium Nachos which were very plain and pretty lame overall. The ""guacamole"" clearly came out of a processed container as it was still in the shape of the ice cream scoop. And it didn't taste anything like fresh guacamole. With all the fun and eclectic bars and restaurants in Seattle, I would not return to this one.",19-Jan-20,30,https://www.tripadvisor.com/ShowUserReviews-g60878-d12500449-r740120412-T12_Social_House-Seattle_Washington.html
"This has to be the best restaurant in Olympia! We had a delicious dinner of Caprese Salad with burrata, Squash Ravioli and the tomato-based pasta special. We finished the dinner with a delicious dessert called Zuppa Inglese. The decor and ambiance is warm and intimate, plus the service was excellent.",29-Dec-19,50,https://www.tripadvisor.com/ShowUserReviews-g58653-d1852418-r735379595-Basilico-Olympia_Washington.html
Thank you for taking the time to post your comments. We are sorry to hear about your unsatisfactory stay. ,11-Dec-19,20,https://www.tripadvisor.com/ShowUserReviews-g52024-d112188-r732127469-Embassy_Suites_by_Hilton_Portland_Downtown-Portland_Oregon.html
"We were staying at the Embassy Suites hotel and Mother's Bistro & Bar is accessible through the lobby. We just wanted a snack, so had fries, lemon meringue pie, and drinks. The plate of fries was huge, very good, and looked made-in-house. The lemon meringue pie was very, very delicious! It was of a heavier consistency than we're used to, but it was outstanding! Service was friendly and attentive.",10-Dec-19,50,https://www.tripadvisor.com/ShowUserReviews-g52024-d487868-r731923821-Mother_s_Bistro_Bar-Portland_Oregon.html
"A wonderful day for a hike. The temperature was in the high 60s with a gentle breeze. There are free maps at the trail head, take one. Choose your trail based on the length you want and the difficulty level. We chose the Taliesin West overlook and came back on the Old Jeep trail. Round trip was just over 5 miles according to our map. Our step counters indicated we went about 30 percent further. The terrain is baseball sized loose gravel on medium grades. One hiker we passed called them ankle breakers. But the rating of medium on these routes is accurate.",01-Dec-19,30,https://www.tripadvisor.com/ShowUserReviews-g31350-d2093386-r730068562-McDowell_Sonoran_Preserve-Scottsdale_Arizona.html
"First impression: The decor is beyond bizarre. It feels like one is in a restaurant at one of the Disney parks. And the floor plan is very bad. The kitchen and food pick up is beyond the entry, creating a traffic jam for servers and guests waiting to get seated.",29-Nov-19,30,https://www.tripadvisor.com/ShowUserReviews-g31350-d334399-r729645572-Carlsbad_Tavern-Scottsdale_Arizona.html
"
                  ",29-Nov-19,50,https://www.tripadvisor.com/ShowUserReviews-g31350-d7729870-r729623960-Pedego_Scottsdale-Scottsdale_Arizona.html
